% Citation Request
% Murat KOKLU and ILKER ALI OZKAN
% KOKLU, M. and OZKAN, I.A., (2020), "Multiclass Classification of Dry Beans Using Computer Vision and Machine Learning Techniques." Computers and Electronics in Agriculture, 174, 105507. DOI: https://doi.org/10.1016/j.compag.2020.105507
% Citation Request

@RELATION Dry_Beans_Dataset
@ATTRIBUTE Area	INTEGER
@ATTRIBUTE Perimeter	REAL
@ATTRIBUTE MajorAxisLength	REAL
@ATTRIBUTE MinorAxisLength	REAL
@ATTRIBUTE AspectRation	REAL
@ATTRIBUTE Eccentricity	REAL
@ATTRIBUTE ConvexArea	INTEGER
@ATTRIBUTE EquivDiameter	REAL
@ATTRIBUTE Extent	REAL
@ATTRIBUTE Solidity	REAL
@ATTRIBUTE roundness	REAL
@ATTRIBUTE Compactness	REAL
@ATTRIBUTE ShapeFactor1	REAL
@ATTRIBUTE ShapeFactor2	REAL
@ATTRIBUTE ShapeFactor3	REAL
@ATTRIBUTE ShapeFactor4	REAL
@ATTRIBUTE Class	{SEKER, BARBUNYA, BOMBAY, CALI, HOROZ, SIRA, DERMASON}

@DATA
28395,610.2909999999998,208.17811670852728,173.88874704163598,1.1971914241160242,0.5498121871383472,28715,190.1410972745107,0.7639225181598063,0.9888559986069998,0.9580271262501276,0.9133577547957626,0.007331506135183212,0.00314728916733569,0.8342223882455564,0.9987238890131684,SEKER
28734,638.0179999999999,200.52479566364806,182.73441935102403,1.0973564606810586,0.41178525136724037,29172,191.2727504858446,0.7839681327076286,0.9849856026326614,0.8870336365528869,0.9538608422605129,0.0069786592769418825,0.003563623712100963,0.9098505063979352,0.9984303314497069,SEKER
29380,624.11,212.82612986020646,175.93114261271373,1.209712656324364,0.5627273167504117,29690,193.41090409881002,0.7781132475237036,0.9895587739979791,0.9478494730164112,0.9087742385103313,0.007243911840034257,0.003047733217213173,0.8258706165800325,0.9990661373632715,SEKER
30008,645.8839999999999,210.5579989609251,182.51651569530466,1.153638059321893,0.49861597640271654,30724,195.467061824781,0.7826812728221179,0.9766957427418305,0.9039363743173375,0.9283288347599437,0.0070167288376741235,0.003214562079390055,0.8617944254467547,0.99419884850682,SEKER
30140,620.1339999999999,201.84788216673786,190.27927878664835,1.0607980199097815,0.333679657773177,30417,195.89650297623436,0.7730980351921203,0.9908932504849262,0.9848770693509095,0.970515523241471,0.006697010025439212,0.0036649719644516834,0.9419003808526663,0.9991660589607774,SEKER
30279,634.927,212.5605564253862,181.5101815997528,1.1710668489886833,0.5204006602912636,30600,196.34770224027577,0.775688484693224,0.9895098039215686,0.9438517832505929,0.9237259515228944,0.007020065273799868,0.0031527787389953013,0.8532696335168767,0.9992357810603374,SEKER
30477,670.033,211.05015532184015,184.03905011294344,1.146768336352096,0.489477894457261,30970,196.98863318702823,0.7624015009380863,0.9840813690668389,0.8530798687748348,0.9333735523038642,0.006924899278860785,0.003242016245376514,0.8711861881403341,0.9990487356266151,SEKER
30519,629.7269999999999,212.9967550563458,182.73720376406496,1.16559053476242,0.5137595579635882,30847,197.12432033052752,0.7706818181818181,0.9893668752228741,0.9671092439901503,0.9254803918415593,0.006979152497013198,0.003158285146362523,0.8565139556832061,0.998344559636264,SEKER
30685,635.6809999999999,213.53414516451642,183.15714629597372,1.1658521083280848,0.5140808603472914,31044,197.65969601868375,0.7715614785013829,0.9884357685865224,0.9542398075022369,0.9256584976908387,0.006958909733241532,0.0031515495188116868,0.8568436543472606,0.9989529809282945,SEKER
30834,631.934,217.22781276440924,180.89746857382104,1.2008339004244408,0.5536422246843214,31120,198.13901211615044,0.7836828059473885,0.9908097686375321,0.9702782301205947,0.9121254299560562,0.007045074034001727,0.0030080398121198064,0.8319727999725202,0.9990611424380447,SEKER
30917,640.765,213.56008939309797,184.43987085903285,1.1578846178889468,0.5041023654121609,31280,198.40551152772198,0.7708052854649713,0.9883951406649616,0.9462581799326395,0.9290383427519497,0.006907529494876539,0.0031742202947999208,0.8631122423032895,0.9993843888746166,SEKER
31091,638.558,210.4862548708281,188.32684762014023,1.1176646215381034,0.4466219235668545,31458,198.96303849047175,0.7863773174494777,0.9883336512174964,0.9581728356299639,0.9452543046697849,0.00677000594612036,0.003333983668368092,0.8935057004967586,0.9986397105878477,SEKER
31107,640.594,214.64854850760176,184.96925258564633,1.1604552946345124,0.5073658752968685,31423,199.01422692379734,0.7610461418016343,0.989943671832734,0.9525817569197089,0.9271631618638654,0.006900329459851537,0.003145388256978018,0.8596315287174005,0.9975639589348673,SEKER
31158,642.626,216.48483620856237,183.64431215611992,1.1788267965768742,0.5295142509507343,31492,199.17730225820964,0.7987592288761279,0.9893941318430077,0.9481190040168371,0.9200519802981555,0.0069479695811208156,0.0030710517082392676,0.8464956464505574,0.9978717512215809,SEKER
31158,641.105,212.06697513850028,187.1929600683684,1.1328790092375651,0.469924156725518,31474,199.17730225820964,0.7813134732566012,0.9899599669568533,0.9526231013453076,0.939218858231592,0.006806180600118759,0.0032670098784518364,0.8821320636578552,0.9993488982933998,SEKER
31178,636.8879999999999,212.97592517558783,186.56208823218967,1.1415820180492635,0.4823522244603472,31520,199.24121693503304,0.7641104820723966,0.9891497461928934,0.9658995960258264,0.9355105126120183,0.006830968156250812,0.003227429112568851,0.8751799192076016,0.9990896583252051,SEKER
31202,644.4539999999998,215.64069469843406,184.47168424549938,1.1689636573787348,0.5178712232518864,31573,199.3178874933872,0.7791928878233942,0.9882494536471036,0.9440792434070276,0.924305534129939,0.00691111770714807,0.0031116465919126517,0.8543407204232316,0.998693253193524,SEKER
31203,639.7819999999999,215.06773695216492,184.87487594412093,1.1633151116605476,0.5109468292276196,31558,199.3210814599682,0.7629841549295775,0.9887508714113695,0.9579485417856513,0.926782809382055,0.006892533953535395,0.0031366824591191967,0.8589263757660944,0.9992020327325237,SEKER
31272,638.6659999999998,212.45031894918174,187.53593899411055,1.1328512288828736,0.46988349421480546,31593,199.54134168877889,0.7703221992314514,0.9898395214129713,0.9634250363807546,0.9392376658964174,0.0067936274926190116,0.0032612455172040633,0.8821673930385504,0.9993644152841227,SEKER
